forward bid,hydrogen production
-10.0,0.0
-10.0,0.0
-10.0,0.0
4.5125568752161085,0.0
10.0,0.0
-0.9950976255772037,10.0
-1.9375949052003332,10.0
0.0,10.0
8.543405821154632,1.4565941788453678
7.847789526670475,2.152210473329525
-0.9605660492997643,10.0
9.666609300328895,0.0
-10.0,10.0
-10.0,10.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,10.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,10.0
4.96609018723288,0.0
2.4930843571576258,0.0
6.670360976501768,0.0
5.017389797476321,4.982610202523679
3.9894812735840035,0.0
-4.33007339131291,10.0
-6.531269630542571,10.0
-5.908963667383416,10.0
6.0435070095248875,0.0
5.306242701712528,0.0
7.77270589233611,0.0
3.390868638651754,0.0
3.5976698962962046,0.0
4.626946517649561,0.0
5.826098218453984,0.0
2.3454604759083697,0.0
4.75806359149857,0.0
10.0,0.0
2.7434328162124135,0.0
-10.0,10.0
8.793329014168851,0.0
10.0,0.0
9.796559067208154,0.20344093279184605
9.558535204136456,0.4414647958635438
0.0,10.0
0.0,10.0
9.723065370487028,0.2769346295129722
-10.0,10.0
-10.0,10.0
0.0,10.0
0.0,10.0
0.0,10.0
10.0,0.0
10.0,0.0
9.489323350521829,0.0
10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,0.0
-10.0,10.0
-10.0,0.0
-10.0,10.0
-10.0,0.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
1.081707540672332,0.0
-10.0,0.0
0.0,10.0
-10.0,0.0
-10.0,0.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
0.0,10.0
0.0,0.0
-10.0,0.0
0.9322180560156725,0.0
2.638998247841506,0.0
3.9812884615584943,0.0
7.908656897395828,0.0
