forward bid,hydrogen production
10.0,0.0
-10.0,0.0
0.6439334776172234,0.0
10.0,0.0
-9.108961501993543,10.0
-9.212931583998756,10.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
-10.0,10.0
10.0,0.0
10.0,0.0
10.0,0.0
-10.0,10.0
10.0,0.0
10.0,0.0
10.0,0.0
-10.0,0.0
10.0,0.0
-10.0,0.0
10.0,0.0
-9.790223487141134,10.0
-10.0,10.0
10.0,0.0
-10.0,10.0
-9.861089523082608,10.0
-10.0,10.0
10.0,0.0
-9.755833244078016,10.0
10.0,0.0
0.3231680927271811,0.0
0.3573559264241028,0.0
10.0,0.0
10.0,0.0
0.15442078171056295,9.845579218289437
0.4021693730058558,0.0
10.0,0.0
10.0,0.0
0.9493952953938488,0.0
10.0,0.0
10.0,0.0
0.6286183948352282,0.0
10.0,0.0
0.8894574040143934,0.0
-9.218234307306705,10.0
1.0,9.0
10.0,0.0
-9.082479205513977,10.0
-10.0,10.0
-10.0,10.0
10.0,0.0
-10.0,10.0
-10.0,10.0
10.0,0.0
10.0,0.0
-10.0,0.0
10.0,0.0
-10.0,0.0
10.0,0.0
-10.0,0.0
10.0,0.0
10.0,0.0
1.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
-10.0,10.0
10.0,0.0
0.966452975050386,0.0
-10.0,0.0
-10.0,10.0
-10.0,10.0
-9.108151636161187,10.0
-9.037612537265622,10.0
-9.037073636689348,10.0
-9.0,10.0
-10.0,0.0
0.8594447532620686,0.0
-10.0,10.0
10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,10.0
0.8327961584311702,0.0
1.0,0.0
-10.0,0.0
-10.0,0.0
10.0,0.0
10.0,0.0
0.7355748828462481,0.0
10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
0.2452966556757275,0.0
-10.0,10.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
-10.0,0.0
10.0,0.0
10.0,0.0
-10.0,10.0
-10.0,10.0
10.0,0.0
10.0,0.0
10.0,0.0
0.9781208178972106,0.0
0.4399756591821555,0.0
-10.0,10.0
10.0,0.0
-10.0,10.0
-9.065568131852817,10.0
10.0,0.0
10.0,0.0
0.0,10.0
-10.0,10.0
